Aufgabe 1:;;Größenordnung;Masse in amu;Scangeschwindigkeit;;Skala Zeit;Skala ch1;Skala ch2;;Bildnr;;;
Auflösungsvermögen;;;;;;;;;;ch1;ch2;;
;;-10;1 – 6;0,1;;;;;;;;;
;;-10;25 – 30;0,1;;;;;;;481725;;
;;;;;;;;;;;;;
Untergrundspektrum;;-10;1 – 50;0,1;;;;;;;483349;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Aufgabe 2:;;-7;40;;;5s;10V;1V;;491027;491051;;5V dazuaddieren, Oszi zeigt 60 statt 65V an
;;-8;20;;;10s;10V;500mV;;491700;491745;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Aufgabe 3:;;-9;14;;;5s;10V;1V;;493016;492957;;
;;-7;28;;;5s;10V;1V;;493433;493446;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Aufgabe 4:;;-8;28;;Ie /mA;0.67;0.72;0.78;0.86;0.92;1;;Gesamtdruck
;;;;;p;0.47;1.01;2.56;5.86;13.5;26.2;;3.7*10^-6 mbar
;;;;;;;;;;;;;
;1.Durchgang;-7;1 – 50;0.1;;50s;2V;500mV;;501729;501705;;
;2.Durchgang;-8;1 – 50;1;;5s;2V;1V;;502050;502104;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Aufgabe 5:;15eV;-8;1 – 50;1;;5s;2V;1V;;502446;502515;;
;30eV;-8;1 – 50;1;;5s;2V;1V;;502710;502658;;
;65eV;-8;1 – 50;1;;5s;2V;1V;;502902;502916;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Aufgabe 6:;;T in mV;p in 10^-8 mbar;;;Aufgabe 7:;;;;;;;
;;20.2;7.86;;;;;;;;;;
;;20.1;7.56;;;5s;2V;1V;;512343;512330;;
;;20;7.24;;;;;;;;;;
;;19.9;6.92;;;Kühlung mit N2;;;;;;;
;;19.8;6.59;;;5s;2V;1V;;512707;512720;;
;;19.7;6.24;;;;;;;;;;
;;19.6;5.89;;;;;;;;;;
;;19.5;5.59;;;;;;;;;;
;;19.4;5.3;;;;;;;;;;
;;19.3;5;;;;;;;;;;
;;19.2;4.69;;;;;;;;;;
;;19.1;4.39;;;;;;;;;;
;;19;4.09;;;;;;;;;;
;;18.9;3.82;;;;;;;;;;
;;18.8;3.54;;;;;;;;;;
;;18.7;3.28;;;;;;;;;;
;;18.6;3.02;;;;;;;;;;
;;18.5;2.8;;;;;;;;;;
;;18.4;2.61;;;;;;;;;;
;;18.3;2.41;;;;;;;;;;
;;18.2;2.23;;;;;;;;;;
;;18.1;2.05;;;;;;;;;;
;;18;1.87;;;;;;;;;;
;;17.9;1.77;;;;;;;;;;
;;17.8;1.65;;;;;;;;;;
;;17.7000000000001;1.55;;;;;;;;;;
;;17.6000000000001;1.43;;;;;;;;;;
;;17.5000000000001;1.32;;;;;;;;;;
;;17.4;1.26;;;;;;;;;;
;;17.3;1.19;;;;;;;;;;
;;17;0.99;;;;;;;;;;
;;16.5;5;10^-9;;;;;;;;;
;;16.3;4.2;;;;;;;;;;
;;16;3.43;;;;;;;;;;
;;15.75;2.79;;;;;;;;;;
;;15.5;2.33;;;;;;;;;;
;;15.25;1.89;;;;;;;;;;
;;15;1.52;;;;;;;;;;
;;14.5;1.02;;;;;;;;;;
;;14;7.68;10^-10;;;;;;;;;
;;13.5;5.8;;;;;;;;;;
;;13;4.62;;;;;;;;;;
;;12.5;3.98;;;;;;;;;;
;;12;3.52;;;;;;;;;;
;;11;3.19;;;;;;;;;;
;;10;3.02;;;;;;;;;;
